"Wavelength","dog_S","dog_L"
626,5.97902071759323e-07,0.248264279555945
627,5.54056059105684e-07,0.238087834486103
628,5.13549498301492e-07,0.228167374348672
629,4.76118852954156e-07,0.218504409226311
630,4.41522090400654e-07,0.209100072183621
631,4.09536870914586e-07,0.199955130744247
632,3.79958894001808e-07,0.191069996872391
633,3.5260038776859e-07,0.182444735542429
634,3.27288728630403e-07,0.174079072019861
635,3.03865179793043e-07,0.16597239801289
636,2.82183737992211e-07,0.158123776885548
637,2.62110078933695e-07,0.15053194814966
638,2.43520592743065e-07,0.143195331473413
639,2.26301501519952e-07,0.136112030458202
640,2.10348051805263e-07,0.129279836442323
641,1.95563775416843e-07,0.122696232589719
642,1.81859812696571e-07,0.116358398514302
643,1.69154292745283e-07,0.110263215675482
644,1.57371765706179e-07,0.104407273758867
645,1.46442682597428e-07,0.0987868782282589
646,1.36302918594383e-07,0.0933980592018702
647,1.26893336025137e-07,0.0882365817681661
648,1.1815938367341e-07,0.0832979578160469
649,1.10050729283046e-07,0.0785774594115173
650,1.02520922431497e-07,0.0740701337098851
651,9.55270851881502e-08,0.0697708193502202
652,8.90296281994382e-08,0.0656741642385878
653,8.29919900484239e-08,0.0617746445896561
654,7.73803979239154e-08,0.0580665850636718
655,7.21636478047491e-08,0.054544179808398
656,6.73129025202581e-08,0.0512015141940231
657,6.28015061895282e-08,0.0480325870136969
658,5.86048136710179e-08,0.0450313329134143
659,5.47000337717552e-08,0.0421916448123341
660,5.10660850724905e-08,0.039507396078084
661,4.76834633229999e-08,0.0369724622306179
662,4.45341194508839e-08,0.034580741962194
663,4.16013473086037e-08,0.0323261772792395
664,3.88696803577471e-08,0.03020277259347
665,3.63247965573073e-08,0.0282046126137541
666,3.39534307846511e-08,0.0263258789159811
667,3.17432941743766e-08,0.024560865094798
668,2.96829998119018e-08,0.0229039904277013
669,2.77619942657929e-08,0.0213498120079499
670,2.59704944859686e-08,0.0198930353274697
671,2.42994296343209e-08,0.018528523313876
672,2.27403874503394e-08,0.0172513038465582
673,2.12855647872773e-08,0.0160565757951672
674,1.9927721984547e-08,0.0149397136396771
675,1.86601407696226e-08,0.0138962707443582
676,1.7476585407967e-08,0.012921981368535
677,1.63712668426114e-08,0.0120127615049736
678,1.53388095861766e-08,0.011164708642309
679,1.43742211475009e-08,0.0103741005512555
680,1.34728637927882e-08,0.00963739319566987
681,1.26304284574557e-08,0.00895121786909447
682,1.18429106397613e-08,0.00831237765543933
683,1.11065881209555e-08,0.00771784330922336
684,1.04180003692239e-08,0.00716474864652008
685,9.7739294961752e-09,0.00665038553267384
686,9.17138264516439e-09,0.00617219854718036
687,8.60757570040507e-09,0.00572777940004937
688,8.07991821469786e-09,0.00531486116765675
689,7.58599946173896e-09,0.00493131240969862
690,7.12357552644964e-09,0.00457513122250043
691,6.69055735362921e-09,0.00424443927771683
692,6.28499968153714e-09,0.00393747588946464
693,5.90509079280102e-09,0.00365259214722368
694,5.5491430203661e-09,0.00338824514647146
